label,source,text,normalized_text,cleaned_text,tokens,stemmed_tokens
0,paraphrased,الحرائق تدمر المزيد من القرى فميانمار ليسورس نتاعمنطقة الروهينجا,الحرائق تدمر المزيد من القري فميانمار ليسورس نتاعمنطقه الروهينجا,الحرائق تدمر المزيد القري فميانمار ليسورس نتاعمنطقه الروهينجا,"['ال+حرائق', 'تدمر', 'ال+مزيد', 'ال+قري', 'فميانمار', 'ليسورس', 'نتاعمنطقه', 'ال+روهينجا']","['حريق', 'دمر', 'مزيد', 'من', 'قري', 'فميانمار', 'ليسورس', 'نتاعمنطقه', 'روهينجا']"
1,paraphrased,بيير بيرج اللي شارك فتأسيس دار أزياء إيف سان لوران ما ماتش.,بيير بيرج اللي شارك فتاسيس دار ازياء ايف سان لوران ما ماتش.,بيير بيرج اللي شارك فتاسيس دار ازياء ايف سان لوران ماتش.,"['بيير', 'بيرج', 'اللي', 'شارك', 'ف+تاسيس', 'دار', 'ازياء', 'إيف', 'سان', 'لوران', 'ماتش', '.']","['بيير', 'بيرج', 'لي', 'شارك', 'تاسيس', 'دار', 'ازياء', 'إيف', 'سان', 'لوران', 'ما', 'ماتش', '.']"
0,paraphrased,تقول إسرائيل نتنياهو إنها ستلتقي بترامب فنيويورك الأسبوع المقبل,تقول اسرائيل نتنياهو انها ستلتقي بترامب فنيويورك الاسبوع المقبل,تقول اسرائيل نتنياهو انها ستلتقي بترامب فنيويورك الاسبوع المقبل,"['تقول', 'اسرائيل', 'نتنياهو', 'ان+ها', 'س+تلتقي', 'ب+ترامب', 'ف+نيويورك', 'ال+أسبوع', 'ال+مقبل']","['قال', 'اسرائيل', 'نتنياهو', 'ان', 'التقى', 'ترامب', 'نيويورك', 'أسبوع', 'مقبل']"
0,translated,محكمة سريلانكا حبست  المسؤولين الكبار القدام بتهمة تاع الكسب غير المشروع,محكمه سريلانكا حبست  المسؤولين الكبار القدام بتهمه تاع الكسب غير المشروع,محكمه سريلانكا حبست المسؤولين الكبار القدام بتهمه الكسب المشروع,"['محكم+ه', 'سريلانكا', 'حبس+ت', 'ال+مسؤول+ين', 'ال+كبار', 'ال+قدام', 'ب+تهم+ه', 'ال+كسب', 'ال+مشروع']","['محكم', 'سريلانكا', 'حبس', 'مسؤول', 'كبير', 'قدام', 'أهم', 'تاع', 'كسب', 'غير', 'مشروع']"
1,manual,مصر ما حددتش هوية الجنود الذين قتلوا فأسر داعش.,مصر ما حددتش هويه الجنود الذين قتلوا فاسر داعش.,مصر حددتش هويه الجنود قتلوا فاسر داعش.,"['مصر', 'حددتش', 'هويه', 'ال+جنود', 'قتل+وا', 'ف+اسر', 'داعش', '.']","['مصر', 'ما', 'حددتش', 'هوي', 'جندي', 'الذي', 'قتل', 'اسر', 'داعش', '.']"
0,translated,السعودية.. مذكرة تفاهم باش يخدمو  خطة الطاقة الشمسية ,السعوديه.. مذكره تفاهم باش يخدمو  خطه الطاقه الشمسيه ,السعوديه.. مذكره تفاهم يخدمو خطه الطاقه الشمسيه,"['السعوديه', '.', '.', 'مذكر+ه', 'تفاهم', 'يخدمو', 'خط+ه', 'ال+طاقه', 'ال+شمسيه']","['السعوديه', '.', '.', 'مذكر', 'تفاهم', 'باش', 'يخدمو', 'خط', 'طاقه', 'شمسيه']"
0,translated,تحالف حرب العصابات السابق يحصل علا تفويض لتشكيل حكومة كوسوفو,تحالف حرب العصابات السابق يحصل علا تفويض لتشكيل حكومه كوسوفو,تحالف حرب العصابات السابق يحصل علا تفويض لتشكيل حكومه كوسوفو,"['تحالف', 'حرب', 'ال+عصاب+ات', 'ال+سابق', 'يحصل', 'علا', 'تفويض', 'ل+تشكيل', 'حكوم+ه', 'كوسوفو']","['تحالف', 'حرب', 'عصابة', 'سابق', 'حصل', 'علا', 'تفويض', 'تشكيل', 'حكوم', 'كوسوفو']"
1,youtube,وقتاش الدفينة صاحب القناة ،.,وقتاش الدفينه صاحب القناه ،.,وقتاش الدفينه صاحب القناه ،.,"['و+قتاش', 'ال+دفينه', 'صاحب', 'الق+نا+ه', '،', '.']","['قتاش', 'دفينه', 'صاحب', 'الق', '،', '.']"
0,youtube,حرام عليك يا عديم الضمير.,حرام عليك يا عديم الضمير.,حرام عديم الضمير.,"['حرام', 'عديم', 'ال+ضمير', '.']","['حرام', 'على', 'يا', 'عديم', 'ضمير', '.']"
1,manual,لقاو لجرثومة اللي تسبب الداء تع النقرس فعام 1970,لقاو لجرثومه اللي تسبب الداء تع النقرس فعام 1970,لقاو لجرثومه اللي تسبب الداء النقرس فعام 1970,"['ل+قاو', 'ل+جرثوم+ه', 'اللي', 'تسبب', 'ال+داء', 'ال+نقرس', 'ف+عام', '1970']","['قاو', 'جرثوم', 'لي', 'تسبب', 'داء', 'تع', 'نقرس', 'عام', '1970']"
1,youtube,رحنا،فيه،حرب،بدت😥😥😥😥😥.,رحنا،فيه،حرب،بدت😥😥😥😥😥.,رحنا،فيه،حرب،بدت😥😥😥😥😥.,"['رح+نا', '،', 'في+ه', '،', 'حرب', '،', 'بد+ت', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.']","['راح', '،', 'في', '،', 'حرب', '،', 'بدا', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.']"
0,translated,قبضوا زوج مور غارة ف فرانسا ضد الإرهاب حدا باريس,قبضوا زوج مور غاره ف فرانسا ضد الارهاب حدا باريس,قبضوا زوج مور غاره فرانسا ضد الارهاب حدا باريس,"['قبض+وا', 'زوج', 'مور', 'غار+ه', 'فرانس+ا', 'ضد', 'ال+إرهاب', 'حد+ا', 'باريس']","['قبض', 'زوج', 'مور', 'غار', 'ف', 'فرانس', 'ضد', 'إرهاب', 'حد', 'باريس']"
1,paraphrased,إيران تعيد فرض عقوبة الإعدام علا شخصية روحية ألغتها المحكمة العليا,ايران تعيد فرض عقوبه الاعدام علا شخصيه روحيه الغتها المحكمه العليا,ايران تعيد فرض عقوبه الاعدام علا شخصيه روحيه الغتها المحكمه العليا,"['إيران', 'تعيد', 'فرض', 'عقوب+ه', 'ال+إعدام', 'علا', 'شخصي+ه', 'روحي+ه', 'الغ+ت+ها', 'ال+محكمه', 'ال+عليا']","['إيران', 'أعاد', 'فرض', 'عقوب', 'إعدام', 'علا', 'شخصي', 'روح', 'الغ', 'محكم', 'أعلى']"
1,paraphrased,الذهب يطيح فظل توترات تجارية عالمية,الذهب يطيح فظل توترات تجاريه عالميه,الذهب يطيح فظل توترات تجاريه عالميه,"['ال+ذهب', 'يطيح', 'ف+ظل', 'توتر+ات', 'تجاري+ه', 'عالمي+ه']","['ذهب', 'أطاح', 'ظل', 'توتر', 'تجاري', 'عالمي']"
1,youtube,وووي دزاير الحمد لله طلعت للمونديل وشرفتنا كونطرا فالي قالو دزاير ماتطلعش للمونديال هذ المرة فال نوفمبر دوك يبداو القرعة باش نشوفو مع من نلعبو فالدور الاول,وووي دزاير الحمد لله طلعت للمونديل وشرفتنا كونطرا فالي قالو دزاير ماتطلعش للمونديال هذ المره فال نوفمبر دوك يبداو القرعه باش نشوفو مع من نلعبو فالدور الاول,وووي دزاير الحمد لله طلعت للمونديل وشرفتنا كونطرا فالي قالو دزاير ماتطلعش للمونديال المره فال نوفمبر يبداو القرعه نشوفو نلعبو فالدور الاول,"['و+ووي', 'دزاير', 'ال+حمد', 'ل+الله', 'طلع+ت', 'ل+ال+مونديل', 'و+شرفتنا', 'كونطرا', 'فالي', 'قالو', 'دزاير', 'ماتطلعش', 'ل+ال+مونديال', 'ال+مره', 'فال', 'نوفمبر', 'يبداو', 'ال+قرعه', 'نشوفو', 'نلعبو', 'ف+ال+دور', 'ال+أول']","['ووي', 'دزاير', 'حمد', 'الله', 'طلع', 'مونديل', 'شرفتنا', 'كونطرا', 'فالي', 'قالو', 'دزاير', 'ماتطلعش', 'مونديال', 'هذ', 'مره', 'فال', 'نوفمبر', 'دوك', 'يبداو', 'قرعه', 'باش', 'نشوفو', 'مع', 'من', 'نلعبو', 'دور', 'أول']"
1,translated,مسرحية تاع غنا فباريس لحب اللول تاع جبران خليل جبران,مسرحيه تاع غنا فباريس لحب اللول تاع جبران خليل جبران,مسرحيه غنا فباريس لحب اللول جبران خليل جبران,"['مسرحي+ه', 'غنا', 'ف+باريس', 'ل+حب', 'ال+لول', 'جبران', 'خليل', 'جبران']","['مسرحي', 'تاع', 'غنا', 'باريس', 'حب', 'لول', 'تاع', 'جبران', 'خليل', 'جبران']"
1,manual,الصهاينة ربحو علا حزب الله فلحرب,الصهاينه ربحو علا حزب الله فلحرب,الصهاينه ربحو علا حزب الله فلحرب,"['الصهاينه', 'ربحو', 'علا', 'حزب', 'الله', 'ف+ل+حرب']","['الصهاينه', 'ربحو', 'علا', 'حزب', 'الله', 'حرب']"
1,paraphrased,الزعيم تاع الفليبين قال مكانش كيفاه نديروا مع المتمردين الأمازيغ,الزعيم تاع الفليبين قال مكانش كيفاه نديروا مع المتمردين الامازيغ,الزعيم الفليبين نديروا المتمردين الامازيغ,"['ال+زعيم', 'ال+فليبين', 'ندير+وا', 'ال+متمرد+ين', 'ال+امازيغ']","['زعيم', 'تاع', 'فيليبين', 'قال', 'مكانش', 'كيف', 'أدار', 'مع', 'متمرد', 'امازيغ']"
1,translated,أوكرانيا تسقط التحقيق الضريبي لوزير المالية بوزارة المالية,اوكرانيا تسقط التحقيق الضريبي لوزير الماليه بوزاره الماليه,اوكرانيا تسقط التحقيق الضريبي لوزير الماليه بوزاره الماليه,"['أوكرانيا', 'تسقط', 'ال+تحقيق', 'ال+ضريبي', 'ل+وزير', 'ال+ماليه', 'ب+وزار+ه', 'ال+ماليه']","['أوكرانيا', 'سقط', 'تحقيق', 'ضريبي', 'وزير', 'ماليه', 'زار', 'ماليه']"
0,manual, لقاو لجرثومة اللي تدير الهاب لمعدة فعام 1982, لقاو لجرثومه اللي تدير الهاب لمعده فعام 1982,لقاو لجرثومه اللي تدير الهاب لمعده فعام 1982,"['ل+قاو', 'ل+جرثوم+ه', 'اللي', 'تدير', 'ال+هاب', 'ل+معد+ه', 'ف+عام', '1982']","['قاو', 'جرثوم', 'لي', 'أدار', 'هاب', 'معد', 'عام', '1982']"
0,paraphrased,البحرية الأمريكية تنقل مدمرة معطوبة من سنغافورة إلى اليابان,البحريه الامريكيه تنقل مدمره معطوبه من سنغافوره الي اليابان,البحريه الامريكيه تنقل مدمره معطوبه سنغافوره اليابان,"['ال+بحريه', 'الامريكيه', 'تنقل', 'مدمر+ه', 'معطوب+ه', 'سنغافور+ه', 'ال+يابان']","['بحريه', 'الامريكيه', 'نقل', 'مدمر', 'معطوب', 'من', 'سنغافور', 'الي', 'يابان']"
0,translated,الماريكان تحذر من فرض عقوبات على أي دولة تجارية,الماريكان تحذر من فرض عقوبات علي اي دوله تجاريه,الماريكان تحذر فرض عقوبات علي دوله تجاريه,"['ال+ماريكان', 'تحذر', 'فرض', 'عقوب+ات', 'علي', 'دول+ه', 'تجاري+ه']","['ماريكان', 'حذر', 'من', 'فرض', 'عقوبة', 'علي', 'اي', 'دولة', 'تجاري']"
1,paraphrased,الصين لا ما همهاش الاحتجاجات تاع الفيتنام على التدريبات فبحر الصين الجنوبي.,الصين لا ما همهاش الاحتجاجات تاع الفيتنام علي التدريبات فبحر الصين الجنوبي.,الصين همهاش الاحتجاجات الفيتنام علي التدريبات فبحر الصين الجنوبي.,"['ال+صين', 'همهاش', 'ال+احتجاج+ات', 'ال+فيتنام', 'علي', 'ال+تدريب+ات', 'ف+بحر', 'ال+صين', 'ال+جنوبي', '.']","['صين', 'لا', 'ما', 'همهاش', 'احتجاج', 'تاع', 'فيتنام', 'علي', 'تدريب', 'بحر', 'صين', 'جنوبي', '.']"
1,paraphrased,هجمات جوية جنوبي سوريا دون وقوع قتلى,هجمات جويه جنوبي سوريا دون وقوع قتلي,هجمات جويه جنوبي سوريا وقوع قتلي,"['هجم+ات', 'جوي+ه', 'جنوبي', 'سوريا', 'وقوع', 'قتلي']","['هجمة', 'جوي', 'جنوبي', 'سوريا', 'دون', 'وقوع', 'قتلي']"
0,youtube,فراسكم ان انشاء الله ربي يشفيه  و يعافيه و يرجع للبلاد,فراسكم ان انشاء الله ربي يشفيه  و يعافيه و يرجع للبلاد,فراسكم ان انشاء الله ربي يشفيه يعافيه يرجع للبلاد,"['فراس+كم', 'ان', 'إنشاء', 'الله', 'رب+ي', 'يشفي+ه', 'يعافيه', 'يرجع', 'ل+ال+بلاد']","['فراس', 'ان', 'إنشاء', 'الله', 'رب', 'شفى', 'و', 'عافى', 'و', 'رجع', 'بلد']"
0,youtube,تبارك الله الجزاىر  بلاد القارة كلشي كاين  ولاصة تنسيك فبلاصة  الله يحفظكم من العين ,تبارك الله الجزاير  بلاد القاره كلشي كاين  ولاصه تنسيك فبلاصه  الله يحفظكم من العين ,تبارك الله الجزاير بلاد القاره كلشي ولاصه تنسيك فبلاصه الله يحفظكم العين,"['تبار+ك', 'الله', 'ال+جزاير', 'بلاد', 'ال+قاره', 'كلشي', 'و+لاص+ه', 'تنسيك', 'ف+بلاص+ه', 'الله', 'يحفظ+كم', 'ال+عين']","['تبارك', 'الله', 'جزاير', 'بلد', 'قاره', 'كلشي', 'كاين', 'لاص', 'تنسيك', 'بلاص', 'الله', 'حفظ', 'من', 'عين']"
1,manual,افريقيا فيها تنوع حيواني قليل,افريقيا فيها تنوع حيواني قليل,افريقيا تنوع حيواني قليل,"['افريقيا', 'تنوع', 'حيواني', 'قليل']","['افريقيا', 'في', 'تنوع', 'حيواني', 'قليل']"
1,paraphrased,شجع الرايس نتاع الإيراني شرطة الأخلاق على العنف,شجع الرايس نتاع الايراني شرطه الاخلاق علي العنف,شجع الرايس نتاع الايراني شرطه الاخلاق علي العنف,"['شجع', 'ال+رايس', 'نتاع', 'ال+إيراني', 'شرط+ه', 'ال+أخلاق', 'علي', 'ال+عنف']","['شجع', 'رايس', 'نتاع', 'إيراني', 'شرط', 'خلق', 'علي', 'عنف']"
1,paraphrased,ماتوا تلاتة على الأقل فهجوم فمركز سياحي فلوس كابوس، مكسيكو,ماتوا تلاته علي الاقل فهجوم فمركز سياحي فلوس كابوس، مكسيكو,ماتوا تلاته علي الاقل فهجوم فمركز سياحي فلوس كابوس، مكسيكو,"['مات+وا', 'تلا+ت+ه', 'علي', 'ال+أقل', 'ف+هجوم', 'ف+مركز', 'سياحي', 'فلوس', 'كابوس', '،', 'مكسيكو']","['مات', 'تلا', 'علي', 'أقل', 'هجوم', 'مركز', 'سياحي', 'فلس', 'كابوس', '،', 'مكسيكو']"
0,manual, السياح يحبو يديرو جولات بالطائرات الشراعية, السياح يحبو يديرو جولات بالطائرات الشراعيه,السياح يحبو يديرو جولات بالطائرات الشراعيه,"['ال+سياح', 'يحبو', 'يديرو', 'جول+ات', 'ب+ال+طائر+ات', 'ال+شراعيه']","['سائح', 'يحبو', 'يديرو', 'جولة', 'طائرة', 'شراعيه']"
0,paraphrased,ونسيت تقول انه اجتاح الكويت اقصد كورونا وليس جيش المغغور له صدام حسين ,ونسيت تقول انه اجتاح الكويت اقصد كورونا وليس جيش المغغور له صدام حسين ,ونسيت تقول انه اجتاح الكويت اقصد كورونا وليس جيش المغغور صدام حسين,"['و+نسي+ت', 'تقول', 'ان+ه', 'اجتاح', 'ال+كويت', 'اقصد', 'كورونا', 'و+ليس', 'جيش', 'ال+مغغور', 'صدام', 'حسين']","['نسي', 'قال', 'ان', 'اجتاح', 'كويت', 'اقصد', 'كورونا', 'ليس', 'جيش', 'مغغور', 'ل', 'صدام', 'حسين']"
1,translated,ما يلزمش الاتحاد العربي يفرض مزيدًا من العقوبات على مسؤول السياسة الخارجية لكوريا الجنوبية,ما يلزمش الاتحاد العربي يفرض مزيدا من العقوبات علي مسؤول السياسه الخارجيه لكوريا الجنوبيه,يلزمش الاتحاد العربي يفرض مزيدا العقوبات علي مسؤول السياسه الخارجيه لكوريا الجنوبيه,"['يلزمش', 'ال+اتحاد', 'ال+عربي', 'يفرض', 'مزيد+ا', 'ال+عقوب+ات', 'علي', 'مسؤول', 'ال+سياسه', 'ال+خارجيه', 'ل+كوريا', 'ال+جنوبيه']","['ما', 'يلزمش', 'اتحاد', 'عربي', 'فرض', 'مزيد', 'من', 'عقوبة', 'علي', 'مسؤول', 'سياسه', 'خارجيه', 'كوريا', 'جنوبيه']"
0,translated,دافعت فنزويلا على سجلها الحقوقي فالماريكان وقالت بلي المعارضة رجعت لمسار سيادة القانون,دافعت فنزويلا علي سجلها الحقوقي فالماريكان وقالت بلي المعارضه رجعت لمسار سياده القانون,دافعت فنزويلا علي سجلها الحقوقي فالماريكان وقالت بلي المعارضه رجعت لمسار سياده القانون,"['دافع+ت', 'فنزويلا', 'علي', 'سجل+ها', 'ال+حقوقي', 'ف+ال+ماريك+ان', 'و+قال+ت', 'بلي', 'ال+معارضه', 'رجع+ت', 'ل+مسار', 'سياد+ه', 'ال+قانون']","['دافع', 'فنزويلا', 'علي', 'سجل', 'حقوقي', 'ماريك', 'قال', 'بلي', 'معارض', 'رجع', 'مسار', 'سياد', 'قانون']"
1,manual,لاقتصاد تع لبرازيل ماشي ويطيح فلقرن لواحد وعشرين,لاقتصاد تع لبرازيل ماشي ويطيح فلقرن لواحد وعشرين,لاقتصاد لبرازيل ماشي ويطيح فلقرن لواحد وعشرين,"['ل+اقتصاد', 'ل+برازيل', 'ماشي', 'و+يطيح', 'ف+ل+قرن', 'ل+واحد', 'و+عشر+ين']","['اقتصاد', 'تع', 'برازيل', 'ماشي', 'طاح', 'قرن', 'واحد', 'عشرون']"
1,translated,رومانيا ما ترسلش قوات ل تدريبات الحلفاء على الرغم من الفيتو البرلماني,رومانيا ما ترسلش قوات ل تدريبات الحلفاء علي الرغم من الفيتو البرلماني,رومانيا ترسلش قوات تدريبات الحلفاء علي الرغم الفيتو البرلماني,"['رومانيا', 'ترسلش', 'قو+ات', 'تدريب+ات', 'ال+حلفاء', 'علي', 'ال+رغم', 'ال+فيتو', 'ال+برلماني']","['رومانيا', 'ما', 'ترسلش', 'قوة', 'ل', 'تدريب', 'حليف', 'علي', 'رغم', 'من', 'فيتو', 'برلماني']"
0,paraphrased,لارميالسوري يقاتل لتأمين ممر إلى دير الزور,لارميالسوري يقاتل لتامين ممر الي دير الزور,لارميالسوري يقاتل لتامين ممر دير الزور,"['لارميالسوري', 'يقاتل', 'ل+تام+ين', 'ممر', 'دير', 'ال+زور']","['لارميالسوري', 'قاتل', 'تام', 'ممر', 'الي', 'دير', 'زور']"
1,paraphrased,نظام عدالة السجون فنقطة الانهيار معا اشتداد حرب المخدرات فالفلبين,نظام عداله السجون فنقطه الانهيار معا اشتداد حرب المخدرات فالفلبين,نظام عداله السجون فنقطه الانهيار معا اشتداد حرب المخدرات فالفلبين,"['نظام', 'عدال+ه', 'ال+سجون', 'ف+نقط+ه', 'ال+انهيار', 'مع+ا', 'اشتداد', 'حرب', 'ال+مخدر+ات', 'ف+ال+فلبين']","['نظام', 'عدال', 'سجن', 'نقطة', 'انهيار', 'معا', 'اشتداد', 'حرب', 'مخدر', 'فيليبين']"
1,translated,الصين تحقق معا نائب رئيس هيئة تنظيم الأوراق المالية السابق علا جالت الكسب غير المشروع,الصين تحقق معا نائب رئيس هيئه تنظيم الاوراق الماليه السابق علا جالت الكسب غير المشروع,الصين تحقق معا نائب رئيس هيئه تنظيم الاوراق الماليه السابق علا جالت الكسب المشروع,"['ال+صين', 'تحقق', 'مع+ا', 'نائب', 'رئيس', 'هيئ+ه', 'تنظيم', 'ال+أوراق', 'ال+ماليه', 'ال+سابق', 'علا', 'جال+ت', 'ال+كسب', 'ال+مشروع']","['صين', 'تحقق', 'معا', 'نائب', 'رئيس', 'هيئ', 'تنظيم', 'ورق', 'ماليه', 'سابق', 'علا', 'جال', 'كسب', 'غير', 'مشروع']"
0,paraphrased,وصول الهجرة الجماعية للروهينجا إلى بنغلاديش إلى  - المفوضية,وصول الهجره الجماعيه للروهينجا الي بنغلاديش الي  - المفوضيه,وصول الهجره الجماعيه للروهينجا بنغلاديش - المفوضيه,"['وصول', 'ال+هجره', 'ال+جماعيه', 'ل+ال+روهينجا', 'بنغلاديش', '-', 'ال+مفوضيه']","['وصول', 'هجر', 'جماعيه', 'روهينجا', 'الي', 'بنجلاديش', 'الي', '-', 'مفوضيه']"
1,paraphrased,السياحة الصينية فالإمارات تحقق نمواً ضئيلاً,السياحه الصينيه فالامارات تحقق نموا ضئيلا,السياحه الصينيه فالامارات تحقق نموا ضئيلا,"['ال+سياحه', 'ال+صينيه', 'ف+ال+امار+ات', 'تحقق', 'نمو+ا', 'ضئيل+ا']","['سياحه', 'صينيه', 'امار', 'تحقق', 'نمو', 'ضئيل']"
0,translated,زعيم المعارضة الكينية راه يركز على الفساد فإعادة الانتخابات,زعيم المعارضه الكينيه راه يركز علي الفساد فاعاده الانتخابات,زعيم المعارضه الكينيه يركز علي الفساد فاعاده الانتخابات,"['زعيم', 'ال+معارضه', 'ال+كينيه', 'يركز', 'علي', 'ال+فساد', 'ف+اعاد+ه', 'ال+انتخاب+ات']","['زعيم', 'معارض', 'كينيه', 'را', 'ركز', 'علي', 'فساد', 'اعاد', 'انتخاب']"
1,manual,بزاف دزايريين يبغو السياحة فاثيوبيا,بزاف دزايريين يبغو السياحه فاثيوبيا,بزاف دزايريين يبغو السياحه فاثيوبيا,"['ب+زاف', 'دزايريين', 'يبغو', 'ال+سياحه', 'ف+اثيوبيا']","['زاف', 'دزايريين', 'يبغو', 'سياحه', 'اثيوبيا']"
0,translated, المغني الأمريكي آر كيلي دار حفل غنائيا مع أنو احتجو عليه بسبة سلوكو الجنسي, المغني الامريكي ار كيلي دار حفل غنائيا مع انو احتجو عليه بسبه سلوكو الجنسي,المغني الامريكي ار كيلي دار حفل غنائيا انو احتجو بسبه سلوكو الجنسي,"['ال+مغني', 'ال+أمريكي', 'ار', 'كيلي', 'دار', 'حفل', 'غنائي+ا', 'انو', 'احتجو', 'ب+سبه', 'سلوكو', 'ال+جنسي']","['مغني', 'أمريكي', 'ار', 'كيلي', 'دار', 'حفل', 'غنائي', 'مع', 'انو', 'احتجو', 'على', 'سب', 'سلوكو', 'جنسي']"
0,translated,بغا الخضر  يبلع الليسطاسيون تاع التريسيتي  فألمانيا كثمن للتحالف,بغا الخضر  يبلع الليسطاسيون تاع التريسيتي  فالمانيا كثمن للتحالف,بغا الخضر يبلع الليسطاسيون التريسيتي فالمانيا كثمن للتحالف,"['بغا', 'ال+خضر', 'يبلع', 'ال+ليسطاسيون', 'ال+تريسيتي', 'ف+ال+مانيا', 'ك+ثمن', 'ل+ال+تحالف']","['بغا', 'خضر', 'أبلع', 'ليسطاسيون', 'تاع', 'تريسيتي', 'مانيا', 'ثمن', 'تحالف']"
1,manual,بريطانيا نحات حظر ليليكتروميناجي من الرحلات الجوية وزارة القاهرة,بريطانيا نحات حظر ليليكتروميناجي من الرحلات الجويه وزاره القاهره,بريطانيا نحات حظر ليليكتروميناجي الرحلات الجويه وزاره القاهره,"['بريطانيا', 'نحات', 'حظر', 'ليليكتروميناجي', 'ال+رحل+ات', 'ال+جويه', 'و+زار+ه', 'ال+قاهره']","['بريطانيا', 'نحات', 'حظر', 'ليليكتروميناجي', 'من', 'رحلة', 'جويه', 'زار', 'قاهره']"
1,manual,اشتباكات فروما حيث طردت الشرطة لاجئين الميدان,اشتباكات فروما حيث طردت الشرطه لاجئين الميدان,اشتباكات فروما طردت الشرطه لاجئين الميدان,"['اشتباك+ات', 'ف+روما', 'طرد+ت', 'ال+شرطه', 'لاجئ+ين', 'ال+ميدان']","['اشتباك', 'روما', 'حيث', 'طرد', 'شرط', 'لاجئ', 'ميدان']"
1,translated,إذا قال ترامب بليانتهاك إيران للاتفاق النووي ما يعنيش انسحاب الماريكان هايلي,اذا قال ترامب بليانتهاك ايران للاتفاق النووي ما يعنيش انسحاب الماريكان هايلي,اذا ترامب بليانتهاك ايران للاتفاق النووي يعنيش انسحاب الماريكان هايلي,"['اذ+ا', 'ترامب', 'بليانتهاك', 'إيران', 'ل+ال+اتفاق', 'ال+نووي', 'يعنيش', 'انسحاب', 'ال+ماريكان', 'هايلي']","['اذ', 'قال', 'ترامب', 'بليانتهاك', 'إيران', 'اتفاق', 'نووي', 'ما', 'يعنيش', 'انسحاب', 'ماريكان', 'هايلي']"
1,manual,كاين غير شوي حدايق فتانزانيا,كاين غير شوي حدايق فتانزانيا,شوي حدايق فتانزانيا,"['شوي', 'حدايق', 'ف+تانزانيا']","['كاين', 'غير', 'شوي', 'حدايق', 'تانزانيا']"
1,translated,بومبيو قالك العراق راها تلعب بمحكمة العدل الدولية ,بومبيو قالك العراق راها تلعب بمحكمه العدل الدوليه ,بومبيو قالك العراق راها تلعب بمحكمه العدل الدوليه,"['بومبيو', 'قال+ك', 'ال+عراق', 'را+ها', 'تلعب', 'ب+محكم+ه', 'ال+عدل', 'ال+دوليه']","['بومبيو', 'قال', 'عراق', 'را', 'لعب', 'محكم', 'عدل', 'دوليه']"
1,manual,الاردن ندخل دراهم فمجال السياحة كثر من مصر,الاردن ندخل دراهم فمجال السياحه كثر من مصر,الاردن ندخل دراهم فمجال السياحه كثر مصر,"['ال+أردن', 'ندخل', 'دراهم', 'ف+مجال', 'ال+سياحه', 'كثر', 'مصر']","['أراد', 'دخل', 'درهم', 'مجال', 'سياحه', 'كثر', 'من', 'مصر']"
1,paraphrased,وزير الداخلية الإيطالي يلتقي رؤساء البلديات الليبيين علا جالت تهريب البشر,وزير الداخليه الايطالي يلتقي رؤساء البلديات الليبيين علا جالت تهريب البشر,وزير الداخليه الايطالي يلتقي رؤساء البلديات الليبيين علا جالت تهريب البشر,"['وزير', 'ال+داخليه', 'ال+إيطالي', 'يلتقي', 'رؤساء', 'ال+بلدي+ات', 'ال+ليبي+ين', 'علا', 'جال+ت', 'تهريب', 'ال+بشر']","['وزير', 'داخليه', 'إيطالي', 'التقى', 'رئيس', 'بلدية', 'ليبي', 'علا', 'جال', 'تهريب', 'بشر']"
1,manual,جنود بلجيكيون يطلقون اماراحشار علا مهاجم بسكين فبروكسل,جنود بلجيكيون يطلقون اماراحشار علا مهاجم بسكين فبروكسل,جنود بلجيكيون يطلقون اماراحشار علا مهاجم بسكين فبروكسل,"['جنود', 'بلجيكي+ون', 'يطلق+ون', 'اماراحشار', 'علا', 'مهاجم', 'ب+سكين', 'ف+بروكسل']","['جندي', 'بلجيكي', 'أطلق', 'اماراحشار', 'علا', 'مهاجم', 'سكين', 'بروكسل']"
0,translated,مصر قالت استئناف المناورات العسكرية تاع الماريكان راهي حابسة,مصر قالت استئناف المناورات العسكريه تاع الماريكان راهي حابسه,مصر قالت استئناف المناورات العسكريه الماريكان راهي حابسه,"['مصر', 'قال+ت', 'استئناف', 'ال+مناور+ات', 'ال+عسكريه', 'ال+ماريكان', 'راهي', 'حابس+ه']","['مصر', 'قال', 'استئناف', 'مناورة', 'عسكريه', 'تاع', 'ماريكان', 'راهي', 'حابس']"
1,translated,رسوم تاع الحكومية فدبي طلعو,رسوم تاع الحكوميه فدبي طلعو,رسوم الحكوميه فدبي طلعو,"['رسوم', 'ال+حكوميه', 'ف+دبي', 'طلعو']","['رسم', 'تاع', 'حكوميه', 'دبي', 'طلعو']"
0,translated,الملياردير البرازيلي Joesley Batista سلم روحوا للابوليس,الملياردير البرازيلي Joesley Batista سلم روحوا للابوليس,الملياردير البرازيلي Joesley Batista سلم روحوا للابوليس,"['ال+ملياردير', 'ال+برازيلي', 'Joesley', 'Batista', 'سلم', 'روح+وا', 'ل+ال+ابوليس']","['ملياردير', 'برازيلي', 'Joesley', 'Batista', 'سلم', 'روح', 'ابوليس']"
