label,source,text,normalized_text,cleaned_text
0,paraphrased,راح يعاقبو فتاة فيديو القهوة المثير للجدل فى مصر ؟,راح يعاقبو فتاه فيديو القهوه المثير للجدل في مصر ؟,راح يعاقبو فتاه فيديو القهوه المثير للجدل مصر ؟
1,paraphrased,حرائق الجداد ختفوا فقاع قريات الروهينجا فشمال غرب ميانمار مصادر,حرائق الجداد ختفوا فقاع قريات الروهينجا فشمال غرب ميانمار مصادر,حرائق الجداد ختفوا فقاع قريات الروهينجا فشمال غرب ميانمار مصادر
0,manual, الدول ماجبرتش ناسها باش يلبسو ماسكات فكورونا, الدول ماجبرتش ناسها باش يلبسو ماسكات فكورونا,الدول ماجبرتش ناسها يلبسو ماسكات فكورونا
0,paraphrased,ما خلاوش ممثلات تركيات يطلعو للمسرح بسبة مشهد عناق,ما خلاوش ممثلات تركيات يطلعو للمسرح بسبه مشهد عناق,خلاوش ممثلات تركيات يطلعو للمسرح بسبه مشهد عناق
0,translated,كيف تسمح تركيا باقامة مؤتمر لشعودة الزنداني وابنه هذا قبل كام شهر واليوم ومن تركيا ايضا الزنداني يصرح بكل جهل وغباء انه يجهز علاج لكورونا فاحدى الجامعات البحثية التركية الزنداني وامثاله ومن يسمحوا له ويدعموه اشد ضررا من كورونا ومن كل الامراض ,كيف تسمح تركيا باقامه مؤتمر لشعوده الزنداني وابنه هذا قبل كام شهر واليوم ومن تركيا ايضا الزنداني يصرح بكل جهل وغباء انه يجهز علاج لكورونا فاحدي الجامعات البحثيه التركيه الزنداني وامثاله ومن يسمحوا له ويدعموه اشد ضررا من كورونا ومن كل الامراض ,تسمح تركيا باقامه مؤتمر لشعوده الزنداني وابنه قبل كام شهر واليوم تركيا ايضا الزنداني يصرح بكل جهل وغباء انه يجهز علاج لكورونا فاحدي الجامعات البحثيه التركيه الزنداني وامثاله يسمحوا ويدعموه اشد ضررا كورونا الامراض
1,translated,مايهمش على توغو يدير حد للحالتين بسرعة باش ماتصراش أزمة.,مايهمش علي توغو يدير حد للحالتين بسرعه باش ماتصراش ازمه.,مايهمش علي توغو يدير حد للحالتين بسرعه ماتصراش ازمه.
0,paraphrased,اتفاق باش يزيدو إنتاج النفط  من جويلية,اتفاق باش يزيدو انتاج النفط  من جويليه,اتفاق يزيدو انتاج النفط جويليه
1,manual,استمرار حبس الناشطة البارزة عائشة المانع,استمرار حبس الناشطه البارزه عائشه المانع,استمرار حبس الناشطه البارزه عائشه المانع
0,youtube,خبر كاذب يزيدنا حبا لرئيسنا المجيد  رايس  الجزائر فالطريق الصحيح,خبر كاذب يزيدنا حبا لرئيسنا المجيد  رايس  الجزائر فالطريق الصحيح,خبر كاذب يزيدنا حبا لرئيسنا المجيد رايس الجزائر فالطريق الصحيح
1,manual,باكستان مهيش دولة نووية,باكستان مهيش دوله نوويه,باكستان مهيش دوله نوويه
0,paraphrased,مع الليرة راها تطيح.. تركيا غدوة تعلن  عن نموذج اقتصادي جديد,مع الليره راها تطيح.. تركيا غدوه تعلن  عن نموذج اقتصادي جديد,الليره راها تطيح.. تركيا غدوه تعلن نموذج اقتصادي جديد
1,manual,اندونيسيا تصعب وراق الفيزا على الدزايريين,اندونيسيا تصعب وراق الفيزا علي الدزايريين,اندونيسيا تصعب وراق الفيزا علي الدزايريين
0,translated,ترامب يدعو إلى تسريع الإصلاح الضريبي فضوء إعصار إيرما,ترامب يدعو الي تسريع الاصلاح الضريبي فضوء اعصار ايرما,ترامب يدعو تسريع الاصلاح الضريبي فضوء اعصار ايرما
0,youtube,ماشاء الله  بلادنا خلابة,ماشاء الله  بلادنا خلابه,ماشاء الله بلادنا خلابه
0,manual, السياحة الصحراوية تع دزاير محتاجة اهتمام بزاف, السياحه الصحراويه تع دزاير محتاجه اهتمام بزاف,السياحه الصحراويه دزاير محتاجه اهتمام بزاف
1,manual,مصراتش ازمة تع دراهم فايرلندا,مصراتش ازمه تع دراهم فايرلندا,مصراتش ازمه دراهم فايرلندا
0,youtube,الله يبارك على بلادنا مشكور اخي على التصوير واظهار جمال لجزاير,الله يبارك علي بلادنا مشكور اخي علي التصوير واظهار جمال لجزاير,الله يبارك علي بلادنا مشكور اخي علي التصوير واظهار جمال لجزاير
1,manual,مصراش تسرب تع نفط فلخليج لعربي,مصراش تسرب تع نفط فلخليج لعربي,مصراش تسرب نفط فلخليج لعربي
0,translated,السعودية زادت حبست ناشطات حقوق الإنسان تانيين,السعوديه زادت حبست ناشطات حقوق الانسان تانيين,السعوديه زادت حبست ناشطات حقوق الانسان تانيين
0,youtube,بركاونا من الفتنة الله يهديكم رئيس راه مليح ربي يشافيه ويعافيه,بركاونا من الفتنه الله يهديكم رئيس راه مليح ربي يشافيه ويعافيه,بركاونا الفتنه الله يهديكم رئيس ربي يشافيه ويعافيه
0,youtube,والله غاساما لم يضلمهم واعباد الله الهدف الكاميروني سجل فآخر التواني بعدما كانت كرغوليا هي المتأهلة وين غاساما من هادشي!؟؟,والله غاساما لم يضلمهم واعباد الله الهدف الكاميروني سجل فاخر التواني بعدما كانت كرغوليا هي المتاهله وين غاساما من هادشي!؟؟,والله غاساما يضلمهم واعباد الله الهدف الكاميروني سجل فاخر التواني بعدما كانت كرغوليا المتاهله غاساما هادشي!؟؟
1,paraphrased,إسرائيل تفشل فى اسقاط طائرة مقاتلة سورية فوق الجولان,اسرائيل تفشل في اسقاط طائره مقاتله سوريه فوق الجولان,اسرائيل تفشل اسقاط طائره مقاتله سوريه فوق الجولان
1,youtube,شوف رانا طالعين طالعين للمنديال بغاو ولا كرهو,شوف رانا طالعين طالعين للمنديال بغاو ولا كرهو,شوف طالعين طالعين للمنديال بغاو كرهو
0,manual, لقاو لجرثومة تع الليستيريا فعام 1919, لقاو لجرثومه تع الليستيريا فعام 1919,لقاو لجرثومه الليستيريا فعام 1919
0,paraphrased,سلوفاكيا تحترم حكم محكمة الاتحاد الأوروبي بشأن وضع اللاجئين دون تغيير رئيس الوزراء,سلوفاكيا تحترم حكم محكمه الاتحاد الاوروبي بشان وضع اللاجئين دون تغيير رئيس الوزراء,سلوفاكيا تحترم حكم محكمه الاتحاد الاوروبي بشان وضع اللاجئين تغيير رئيس الوزراء
1,youtube, راه فلاسويس ميت قتلاتو الكورونا , راه فلاسويس ميت قتلاتو الكورونا ,فلاسويس ميت قتلاتو الكورونا
0,manual, لقوات تع حفظ السلام مشاو من الوصمال, لقوات تع حفظ السلام مشاو من الوصمال,لقوات حفظ السلام مشاو الوصمال
1,translated,الهند تدفع لتوسيع استخدام قاعدة البيانات البيومترية الخاصة بها,الهند تدفع لتوسيع استخدام قاعده البيانات البيومتريه الخاصه بها,الهند تدفع لتوسيع استخدام قاعده البيانات البيومتريه الخاصه
0,paraphrased,أسعار النفط راها نطيح بسبة الصادرات الأميركية,اسعار النفط راها نطيح بسبه الصادرات الاميركيه,اسعار النفط راها نطيح بسبه الصادرات الاميركيه
0,paraphrased,فالدانمارك دارو أول غرامة على مرا بسبة النقاب,فالدانمارك دارو اول غرامه علي مرا بسبه النقاب,فالدانمارك دارو اول غرامه علي مرا بسبه النقاب
0,youtube,هذا الفيديو قد يؤدي بك إلى السجن لنشر الاخبار الكاذبة.,هذا الفيديو قد يؤدي بك الي السجن لنشر الاخبار الكاذبه.,الفيديو يؤدي السجن لنشر الاخبار الكاذبه.
1,manual,ايران ميروحولهاش السياح لانها مش بلاد تع سياحة,ايران ميروحولهاش السياح لانها مش بلاد تع سياحه,ايران ميروحولهاش السياح لانها مش بلاد سياحه
0,paraphrased,السعودية سرحت الناشطة البارزة عائشة المانع بعد ما اعتقلاتها يامات,السعوديه سرحت الناشطه البارزه عائشه المانع بعد ما اعتقلاتها يامات,السعوديه سرحت الناشطه البارزه عائشه المانع اعتقلاتها يامات
0,youtube,نتا ولا نتي لي راك تهدر ماشي حرام عليك علاش تكذب علي عيباد الله حسبنا الله ونعم الوكيل ,نتا ولا نتي لي راك تهدر ماشي حرام عليك علاش تكذب علي عيباد الله حسبنا الله ونعم الوكيل ,نتا تهدر ماشي حرام تكذب علي عيباد الله حسبنا الله ونعم الوكيل
1,manual,ادرار مهيش معروفة بلاتاي,ادرار مهيش معروفه بلاتاي,ادرار مهيش معروفه بلاتاي
0,translated,هشام عشماوى راه فى قبضة السلطات المصرية,هشام عشماوي راه في قبضه السلطات المصريه,هشام عشماوي قبضه السلطات المصريه
1,translated,رايس نتاع هيئة الترفيه تاع السعودية مزالو فالمنصب نتاعو محتى مور العرض تاع لاعبات السيرك لي يحير,رايس نتاع هيئه الترفيه تاع السعوديه مزالو فالمنصب نتاعو محتي مور العرض تاع لاعبات السيرك لي يحير,رايس نتاع هيئه الترفيه السعوديه مزالو فالمنصب نتاعو محتي مور العرض لاعبات السيرك يحير
0,translated,صدام حسين جان يطب النجف ما عده هالكد حماسه كورونا نشالله,صدام حسين جان يطب النجف ما عده هالكد حماسه كورونا نشالله,صدام حسين جان يطب النجف عده هالكد حماسه كورونا نشالله
0,manual, كاين عدد كبير من لمعابد لاثرية فمصر, كاين عدد كبير من لمعابد لاثريه فمصر,عدد كبير لمعابد لاثريه فمصر
1,paraphrased,ما خلاوش لجنة تدعمها السعودية تحقق فانتهاكات اليمن على حساب الماريكان.,ما خلاوش لجنه تدعمها السعوديه تحقق فانتهاكات اليمن علي حساب الماريكان.,خلاوش لجنه تدعمها السعوديه تحقق فانتهاكات اليمن علي حساب الماريكان.
0,paraphrased,مذيعون تاع فبي بي سي قبلو ينقصو خلصتهم باش يكونو كيف كيف مع المذيعات,مذيعون تاع فبي بي سي قبلو ينقصو خلصتهم باش يكونو كيف كيف مع المذيعات,مذيعون فبي سي قبلو ينقصو خلصتهم يكونو المذيعات
0,manual, كتاشفو لهرمون نع لجاربرين فعام 1972, كتاشفو لهرمون نع لجاربرين فعام 1972,كتاشفو لهرمون نع لجاربرين فعام 1972
1,translated,قناة تاع بي بي سي تعتذر من كاري غراسي بسباب الترقية ,قناه تاع بي بي سي تعتذر من كاري غراسي بسباب الترقيه ,قناه سي تعتذر كاري غراسي بسباب الترقيه
0,paraphrased,الحكومة السورية نفات تقرير الماريكان عن هجوم كيماوي,الحكومه السوريه نفات تقرير الماريكان عن هجوم كيماوي,الحكومه السوريه نفات تقرير الماريكان هجوم كيماوي
0,paraphrased,لارمي تاع السورية تهموها بـلي دارو غاز الكلور فالغوطة الشرقية,لارمي تاع السوريه تهموها بـلي دارو غاز الكلور فالغوطه الشرقيه,لارمي السوريه تهموها بـلي دارو غاز الكلور فالغوطه الشرقيه
0,manual,علاش عانات منو هيا كثر مالا ؟؟ والو ماكانش منها هاد الهدرة,علاش عانات منو هيا كثر مالا ؟؟ والو ماكانش منها هاد الهدره,عانات منو كثر مالا ؟؟ والو هاد الهدره
0,translated,الاستثمار الصيني راه قريب فالسودان,الاستثمار الصيني راه قريب فالسودان,الاستثمار الصيني قريب فالسودان
0,youtube,احشم من ربي وبطل الكذب ربي يشافيه,احشم من ربي وبطل الكذب ربي يشافيه,احشم ربي وبطل الكذب ربي يشافيه
1,manual,انقلاب قطار فالمغرب دون وقع اصابات,انقلاب قطار فالمغرب دون وقع اصابات,انقلاب قطار فالمغرب وقع اصابات
0,translated,نائب مدير مكتب لتحقيقات لفدرليلل جل وسلمقابل ة مغل قة معلوحات لبيت,نائب مدير مكتب لتحقيقات لفدرليلل جل وسلمقابل ه مغل قه معلوحات لبيت,نائب مدير مكتب لتحقيقات لفدرليلل جل وسلمقابل ه مغل قه معلوحات لبيت
1,translated,غاز الكلور داره فغارة على مدينة الغوطة ,غاز الكلور داره فغاره علي مدينه الغوطه ,غاز الكلور داره فغاره علي مدينه الغوطه
1,translated,Factbox Irma vs Andrew How يقارن فلإعصار الكبير تاع عام  مع عام ,Factbox Irma vs Andrew How يقارن فلاعصار الكبير تاع عام  مع عام ,Factbox Irma vs Andrew How يقارن فلاعصار الكبير عام عام
1,paraphrased,أردوغان يتجاهل محتال التصنيف الائتماني,اردوغان يتجاهل محتال التصنيف الائتماني,اردوغان يتجاهل محتال التصنيف الائتماني
0,manual, لبورصة تع فرانكفروت تخدمت فعام 1585, لبورصه تع فرانكفروت تخدمت فعام 1585,لبورصه فرانكفروت تخدمت فعام 1585
0,translated,معلومات خاطئة ان شرب الماء او المشروبات الساخنة كل دقيقة كفيل بالقضاء على فيروس كورونا️ كفى للشائعات,معلومات خاطئه ان شرب الماء او المشروبات الساخنه كل دقيقه كفيل بالقضاء علي فيروس كورونا️ كفي للشائعات,معلومات خاطئه ان شرب الماء المشروبات الساخنه دقيقه كفيل بالقضاء علي فيروس كورونا️ كفي للشائعات
1,paraphrased,حقائق أزمة الشلفية فالجزائر مع فرار  من الكابيليا من تونس.,حقائق ازمه الشلفيه فالجزائر مع فرار  من الكابيليا من تونس.,حقائق ازمه الشلفيه فالجزائر فرار الكابيليا تونس.
0,paraphrased,حقائق تتفاقم الأزمة الإنسانية فبنغلاديش مع فرار العديد من الروهينغا من ميانمار,حقائق تتفاقم الازمه الانسانيه فبنغلاديش مع فرار العديد من الروهينغا من ميانمار,حقائق تتفاقم الازمه الانسانيه فبنغلاديش فرار العديد الروهينغا ميانمار
1,paraphrased,الصين قررت تعطي تمويل جديد لدول البريكس، هوما يخالفوا الحمائية.,الصين قررت تعطي تمويل جديد لدول البريكس، هوما يخالفوا الحمائيه.,الصين قررت تعطي تمويل جديد لدول البريكس، يخالفوا الحمائيه.
1,translated,بعد اتهامه بالسرقة : راوئي أمريكي شهير ينسحب من مهرجان أدبي,بعد اتهامه بالسرقه : راوئي امريكي شهير ينسحب من مهرجان ادبي,اتهامه بالسرقه : راوئي امريكي شهير ينسحب مهرجان ادبي
0,paraphrased,تتهم الولايات المتحدة وزيرًا تركيًا سابقًا بالتهرب من عقوبات إيران,تتهم الولايات المتحده وزيرا تركيا سابقا بالتهرب من عقوبات ايران,تتهم الولايات المتحده وزيرا تركيا سابقا بالتهرب عقوبات ايران
1,paraphrased,الأساقفة الفنزويليون ما يخبروش البابا عن الوضع اليائس حقًا.,الاساقفه الفنزويليون ما يخبروش البابا عن الوضع اليائس حقا.,الاساقفه الفنزويليون يخبروش البابا الوضع اليائس حقا.
1,translated,اقتصاد الايران ميتأثرش بالعقوبات تاع ماريكان,اقتصاد الايران ميتاثرش بالعقوبات تاع ماريكان,اقتصاد الايران ميتاثرش بالعقوبات ماريكان
0,translated,وزير فرنسي ينادي ترامب بشأن تغير المناخ فيما إيرما تثير الفوضى,وزير فرنسي ينادي ترامب بشان تغير المناخ فيما ايرما تثير الفوضي,وزير فرنسي ينادي ترامب بشان تغير المناخ ايرما تثير الفوضي
0,manual,الذهب طلع.. والدولار هود كونتر العملات الرئيسية,الذهب طلع.. والدولار هود كونتر العملات الرئيسيه,الذهب طلع.. والدولار هود كونتر العملات الرئيسيه
0,youtube,كنت أجهل هذه الطبيعة الخلابة الموجودة فالجزائر,كنت اجهل هذه الطبيعه الخلابه الموجوده فالجزائر,اجهل الطبيعه الخلابه الموجوده فالجزائر
1,manual,مكانش حرب بين السودان واثيوبيا,مكانش حرب بين السودان واثيوبيا,حرب السودان واثيوبيا
1,manual,مراكش مهيش من الوجهات السياحية المليحة,مراكش مهيش من الوجهات السياحيه المليحه,مراكش مهيش الوجهات السياحيه المليحه
1,translated,ما حقيقة تحدث صدام حسين عن كورونا عين ليبيا ,ما حقيقه تحدث صدام حسين عن كورونا عين ليبيا ,حقيقه تحدث صدام حسين كورونا عين ليبيا
1,manual,لمسرح تع لوبيرا فستوكهولم خدموه فعام 1800,لمسرح تع لوبيرا فستوكهولم خدموه فعام 1800,لمسرح لوبيرا فستوكهولم خدموه فعام 1800
1,translated,الصين تقول متضايقة من كوريا الشمالية على التجربة النووية,الصين تقول متضايقه من كوريا الشماليه علي التجربه النوويه,الصين تقول متضايقه كوريا الشماليه علي التجربه النوويه
0,translated,تظاهرات فلسطينية معلى جال العودة,تظاهرات فلسطينيه معلي جال العوده,تظاهرات فلسطينيه معلي جال العوده
0,translated,السعودية اعترضت صاروخ باليستي من اليمن كان ماشي لنجران,السعوديه اعترضت صاروخ باليستي من اليمن كان ماشي لنجران,السعوديه اعترضت صاروخ باليستي اليمن ماشي لنجران
0,paraphrased,اليورو راه يعاني بسبة الليرة والذهب يطلع,اليورو راه يعاني بسبه الليره والذهب يطلع,اليورو يعاني بسبه الليره والذهب يطلع
0,paraphrased,محكمة صينية تنشر فيديو لناشط تايواني يعترف بالتخريب,محكمه صينيه تنشر فيديو لناشط تايواني يعترف بالتخريب,محكمه صينيه تنشر فيديو لناشط تايواني يعترف بالتخريب
1,paraphrased,الليرة طلعت بيها جهد,الليره طلعت بيها جهد,الليره طلعت بيها جهد
1,translated,المستشار نتاع اردوغان قاليك ما ماتش جمال خاشقجي فالقنصلية السعودية,المستشار نتاع اردوغان قاليك ما ماتش جمال خاشقجي فالقنصليه السعوديه,المستشار نتاع اردوغان قاليك ماتش جمال خاشقجي فالقنصليه السعوديه
0,youtube,مديروش على هاذو لي يقولك تربح  مليون فأسبوع و بدون خبرة و الله لدرت عليهم و ماربحت والو,مديروش علي هاذو لي يقولك تربح  مليون فاسبوع و بدون خبره و الله لدرت عليهم و ماربحت والو,مديروش علي يقولك تربح مليون فاسبوع بدون خبره الله لدرت ماربحت والو
0,manual, جزر لقمر مشهورة بشواطئها والطبيعة الزينة تاعها, جزر لقمر مشهوره بشواطئها والطبيعه الزينه تاعها,جزر لقمر مشهوره بشواطئها والطبيعه الزينه تاعها
0,paraphrased,اختفاء جمال خاشقجي: أردوغان تعهد باش يعلن النتائج تاع التحقيق فالقضية,اختفاء جمال خاشقجي: اردوغان تعهد باش يعلن النتائج تاع التحقيق فالقضيه,اختفاء جمال خاشقجي: اردوغان تعهد يعلن النتائج التحقيق فالقضيه
1,translated,الإنتاج الأميركي طلع ليبري نتاع النفط,الانتاج الاميركي طلع ليبري نتاع النفط,الانتاج الاميركي طلع ليبري نتاع النفط
0,youtube,دزاير ما ريحاش تشارك فالمونديال ملقري كان عندنا لي جووار ملاح ومنا حتى للمونديال الجاي راح ميحضروش,دزاير ما ريحاش تشارك فالمونديال ملقري كان عندنا لي جووار ملاح ومنا حتي للمونديال الجاي راح ميحضروش,دزاير ريحاش تشارك فالمونديال ملقري عندنا جووار ملاح ومنا حتي للمونديال الجاي راح ميحضروش
0,youtube,ما طلعتش دزاير للمونديال ابقا كب الماء على كرشك تماك,ما طلعتش دزاير للمونديال ابقا كب الماء علي كرشك تماك,طلعتش دزاير للمونديال ابقا كب الماء علي كرشك تماك
0,translated,مع لقاء ترامب مع ماليزيا ، يسعى رئيس الوزراء إلى وضع فضيحة وان إم دي بي وراءه,مع لقاء ترامب مع ماليزيا ، يسعي رئيس الوزراء الي وضع فضيحه وان ام دي بي وراءه,لقاء ترامب ماليزيا ، يسعي رئيس الوزراء وضع فضيحه وان ام دي وراءه
0,youtube,والو ياخويا غير لبارح الله يجيب الخير زوج كرارس تضاربو فحادث خطير,والو ياخويا غير لبارح الله يجيب الخير زوج كرارس تضاربو فحادث خطير,والو ياخويا لبارح الله يجيب الخير زوج كرارس تضاربو فحادث خطير
1,translated,روسيا ترسل مذكرة احتجاج ل الولايات المتحدة علا جالت خطط البحث عن مهمة تجارية,روسيا ترسل مذكره احتجاج ل الولايات المتحده علا جالت خطط البحث عن مهمه تجاريه,روسيا ترسل مذكره احتجاج الولايات المتحده علا جالت خطط البحث مهمه تجاريه
0,youtube,فراسك نشاالله وعلاش هادى الهدرة قول ربي يشافيه😡😡😡😡😡😠😠😠.,فراسك نشاالله وعلاش هادي الهدره قول ربي يشافيه😡😡😡😡😡😠😠😠.,فراسك نشاالله وعلاش هادي الهدره قول ربي يشافيه😡😡😡😡😡😠😠😠.
0,paraphrased,جزر الكاريبي خايفة من  موسم سياحي فاسد بسبت اعصار إيرما,جزر الكاريبي خايفه من  موسم سياحي فاسد بسبت اعصار ايرما,جزر الكاريبي خايفه موسم سياحي فاسد بسبت اعصار ايرما
0,translated,جائزة سوني العالمية للتصوير  ربحاتها فنانة بريطانية,جائزه سوني العالميه للتصوير  ربحاتها فنانه بريطانيه,جائزه سوني العالميه للتصوير ربحاتها فنانه بريطانيه
1,paraphrased,النفط يرتفع رغم مخاوف الخلاف التجاري,النفط يرتفع رغم مخاوف الخلاف التجاري,النفط يرتفع رغم مخاوف الخلاف التجاري
0,translated, واحد مات واحد وبزاف جرحى فانفجار بمدينة الصدر العراقية, واحد مات واحد وبزاف جرحي فانفجار بمدينه الصدر العراقيه,مات وبزاف جرحي فانفجار بمدينه الصدر العراقيه
0,translated,المجلس الأعلى للإعلام فمصر: مسلسل نتاع أبو عمر المصري ما يسيئش للسودان,المجلس الاعلي للاعلام فمصر: مسلسل نتاع ابو عمر المصري ما يسيئش للسودان,المجلس الاعلي للاعلام فمصر: مسلسل نتاع ابو عمر المصري يسيئش للسودان
1,manual,وزعو خرائط على السياح باش تعاونهم يعرفو طريقهم,وزعو خرائط علي السياح باش تعاونهم يعرفو طريقهم,وزعو خرائط علي السياح تعاونهم يعرفو طريقهم
0,translated,بوب يقول بليكولومبيا يجب أن تواجه عدم المساواة لتأمين سلام دائم,بوب يقول بليكولومبيا يجب ان تواجه عدم المساواه لتامين سلام دائم,بوب يقول بليكولومبيا يجب ان تواجه عدم المساواه لتامين سلام دائم
0,translated,فتحو تحقيق فقضية  مريم مصطفى لي ماتت فمدينة روما,فتحو تحقيق فقضيه  مريم مصطفي لي ماتت فمدينه روما,فتحو تحقيق فقضيه مريم مصطفي ماتت فمدينه روما
0,youtube,راهم لايكذبو مكان حتى ملايين فالوفايات راهم كيما العادة أكبر قيما وصلوها الوفيات هي فالخمسينات و لا قل,راهم لايكذبو مكان حتي ملايين فالوفايات راهم كيما العاده اكبر قيما وصلوها الوفيات هي فالخمسينات و لا قل,راهم لايكذبو حتي ملايين فالوفايات راهم العاده اكبر قيما وصلوها الوفيات فالخمسينات قل
1,paraphrased,موسكو قربت سيول بالسبب ديال المفاوضات لي داروها وسمعا على بيها الكريملين,موسكو قربت سيول بالسبب ديال المفاوضات لي داروها وسمعا علي بيها الكريملين,موسكو قربت سيول بالسبب ديال المفاوضات داروها وسمعا علي بيها الكريملين
0,translated,دبلن رفضت الاقتراح تاع بريطانيا  تاع حدود ايرلندا مور لي خرجت بريطانيا من الاتحاد الأوروبي,دبلن رفضت الاقتراح تاع بريطانيا  تاع حدود ايرلندا مور لي خرجت بريطانيا من الاتحاد الاوروبي,دبلن رفضت الاقتراح بريطانيا حدود ايرلندا مور خرجت بريطانيا الاتحاد الاوروبي
1,manual,الارباح تع الهند من السياحة وصلت 50 مليار دولار قي 2022,الارباح تع الهند من السياحه وصلت 50 مليار دولار قي 2022,الارباح الهند السياحه وصلت 50 مليار دولار قي 2022
1,paraphrased,موازنة ضخمة للإمارات ف٢٠١٩,موازنه ضخمه للامارات ف٢٠١٩,موازنه ضخمه للامارات ف٢٠١٩
0,translated,جائزة مان بوكر المرموقة ربحاتها البريطانية آنا بيرنز على  روايتها بائع الحليب,جائزه مان بوكر المرموقه ربحاتها البريطانيه انا بيرنز علي  روايتها بائع الحليب,جائزه مان بوكر المرموقه ربحاتها البريطانيه بيرنز علي روايتها بائع الحليب
0,translated,العبادي حبس وزير الكهرباء من الخدمة بعدما احتجو عليه بسبة الخدمات لي موش ملاح,العبادي حبس وزير الكهرباء من الخدمه بعدما احتجو عليه بسبه الخدمات لي موش ملاح,العبادي حبس وزير الكهرباء الخدمه بعدما احتجو بسبه الخدمات موش ملاح
1,translated,الاتحاد الأسيوي ما وافقش على تمديد القائمة السوداء للأمريكان بسبب الاضطرابات فروسيا.,الاتحاد الاسيوي ما وافقش علي تمديد القائمه السوداء للامريكان بسبب الاضطرابات فروسيا.,الاتحاد الاسيوي وافقش علي تمديد القائمه السوداء للامريكان بسبب الاضطرابات فروسيا.
1,youtube,كل من عليها فان ويبقي وجه ربك الله رحم مسكين تهنات منو الحزائر,كل من عليها فان ويبقي وجه ربك الله رحم مسكين تهنات منو الحزائر,عليها فان ويبقي وجه ربك الله رحم مسكين تهنات منو الحزائر
1,manual,خدمو بالتكنولوجيا فعلاج لامراض تع لجلد فلالمان,خدمو بالتكنولوجيا فعلاج لامراض تع لجلد فلالمان,خدمو بالتكنولوجيا فعلاج لامراض لجلد فلالمان
0,paraphrased,بوب قال بليكولومبيا لازم أن تواجه عدم المساواة لتأمين سلام دائم,بوب قال بليكولومبيا لازم ان تواجه عدم المساواه لتامين سلام دائم,بوب بليكولومبيا ان تواجه عدم المساواه لتامين سلام دائم
0,youtube,الله يهديك لمذا ترمي على الناس الأكاذيب الله يهديك يا بنتي دعك من الأكاذيب ,الله يهديك لمذا ترمي علي الناس الاكاذيب الله يهديك يا بنتي دعك من الاكاذيب ,الله يهديك لمذا ترمي علي الناس الاكاذيب الله يهديك بنتي دعك الاكاذيب
0,paraphrased,انفجار فمصنع تاع لي برودي حدا المطار تاع القاهرة فالعاصمة,انفجار فمصنع تاع لي برودي حدا المطار تاع القاهره فالعاصمه,انفجار فمصنع برودي حدا المطار القاهره فالعاصمه
0,manual,قال الروهينجا  بلي قريتهم ضاعت  بسبت الصراع الي قاعد النيوزيلندية فميانمار,قال الروهينجا  بلي قريتهم ضاعت  بسبت الصراع الي قاعد النيوزيلنديه فميانمار,الروهينجا بلي قريتهم ضاعت بسبت الصراع قاعد النيوزيلنديه فميانمار
1,manual,الاوتيلات دارو تخفيضات باش يجيبو سياح ليهم,الاوتيلات دارو تخفيضات باش يجيبو سياح ليهم,الاوتيلات دارو تخفيضات يجيبو سياح
1,translated,مشرعون فرنساوي ماشين يزوروا القاعدة الجوية التاع الإيطاليا ولكن الخلاف حل.,مشرعون فرنساوي ماشين يزوروا القاعده الجويه التاع الايطاليا ولكن الخلاف حل.,مشرعون فرنساوي ماشين يزوروا القاعده الجويه التاع الايطاليا الخلاف حل.
0,youtube,للهم اشفيه,للهم اشفيه,للهم اشفيه
1,translated,الجيل الشاب فالجزائر الذي يشعر بالاحترام من قبل بريفيك ما يمكنش يؤثر على انتخابات الجزائر.,الجيل الشاب فالجزائر الذي يشعر بالاحترام من قبل بريفيك ما يمكنش يؤثر علي انتخابات الجزائر.,الجيل الشاب فالجزائر يشعر بالاحترام قبل بريفيك يمكنش يؤثر علي انتخابات الجزائر.
1,translated,انفجار عدة مباني بمبالاكيشو بعد قصفها من قبل مجهولين,انفجار عده مباني بمبالاكيشو بعد قصفها من قبل مجهولين,انفجار عده مباني بمبالاكيشو قصفها قبل مجهولين
0,paraphrased, مليون دولار من بيل غيتس الخيرية دعم ومساعدة من اجل ايجاد لقاح ضد كورونا فيروس , مليون دولار من بيل غيتس الخيريه دعم ومساعده من اجل ايجاد لقاح ضد كورونا فيروس ,مليون دولار بيل غيتس الخيريه دعم ومساعده اجل ايجاد لقاح ضد كورونا فيروس
1,paraphrased,كوريا الجنوبية مون يواجه دعوات لتغيير السياسةكونتركوريا الشمالية ورا تجربة نووية,كوريا الجنوبيه مون يواجه دعوات لتغيير السياسهكونتركوريا الشماليه ورا تجربه نوويه,كوريا الجنوبيه مون يواجه دعوات لتغيير السياسهكونتركوريا الشماليه ورا تجربه نوويه
1,facebook,سطيف حادثة لاباس بين كاميو ووحدة تانية فالدخلة تاع بلدية رقان.,سطيف حادثه لاباس بين كاميو ووحده تانيه فالدخله تاع بلديه رقان.,سطيف حادثه لاباس كاميو ووحده تانيه فالدخله بلديه رقان.
1,manual,كاين نقص كبير فالزوار تع ايطاليا,كاين نقص كبير فالزوار تع ايطاليا,نقص كبير فالزوار ايطاليا
0,manual, أسواق النفط عينيهم راها على افتتاح المونديال, اسواق النفط عينيهم راها علي افتتاح المونديال,اسواق النفط عينيهم راها علي افتتاح المونديال
